pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,INTERACTIVE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op1,1,const,,55
p1,,,op4,op1,1,const,,55
p2,0.0,INTERACTIVE,op1,,1,const,,55
p2,,,op2,op1,2,sqrt,,55
p2,,,op3,op2,40,linear7,,20
p2,,,op4,op3,40,linear7,,20
p2,,,op5,op4,15,linear3,,37.5
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,15,linear3,,37.5
p3,,,op3,op2,2,sqrt,,55
p3,,,op4,op3,20,linear7,,30
p3,,,op5,op4,15,linear3,,37.5
p3,,,op6,op5,5,linear3,,45
p3,,,op7,op6,2,sqrt,,55
p3,,,op8,op7,40,linear7,,20
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,20,linear7,,30
p4,,,op3,op2,15,linear3,,37.5
p4,,,op4,op3,20,linear7,,30
p4,,,op5,op4,20,linear7,,30
p4,,,op6,op5,80,squared,,10
p4,,,op7,op6,5,linear3,,45
p5,0.0,QUERY,op1,,15,linear3,,35
p6,0.0,QUERY,op1,,15,linear3,,35
p7,0.0,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,2,sqrt,,55
p7,,,op3,op2,2,sqrt,,55
p7,,,op4,op3,20,linear7,,30
p7,,,op5,op4,40,linear7,,20
p7,,,op6,op5,20,linear7,,30
p7,,,op7,op6,5,linear3,,45
p8,0.0,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,20,linear7,,30
p8,,,op3,op2,15,linear3,,37.5
p8,,,op4,op3,20,linear7,,30
p8,,,op5,op4,15,linear3,,37.5
p8,,,op6,op5,15,linear3,,37.5
p8,,,op7,op6,20,linear7,,30
p8,,,op8,op7,1,const,,55
p9,0.0,INTERACTIVE,op1,,1,const,,55
p9,,,op2,op1,15,linear3,,37.5
p9,,,op3,op2,80,squared,,10
p9,,,op4,op3,2,sqrt,,55
p9,,,op5,op4,40,linear7,,20
p10,0.0,INTERACTIVE,op1,,1,const,,55
p10,,,op2,op1,20,linear7,,30
p10,,,op3,op2,40,linear7,,20
p10,,,op4,op3,40,linear7,,20
p10,,,op5,op4,5,linear3,,45
p11,7.96,QUERY,op1,,15,linear3,,35
p12,7.96,INTERACTIVE,op1,,1,const,,55
p12,,,op2,op1,2,sqrt,,55
p12,,,op3,op2,20,linear7,,30
p12,,,op4,op3,15,linear3,,37.5
p13,7.96,INTERACTIVE,op1,,1,const,,55
p13,,,op2,,20,linear7,,30
p13,,,op3,,5,linear3,,45
p13,,,op4,,20,linear7,,30
p13,,,op5,op1;op2;op3;op4,5,linear3,,45
p14,7.96,QUERY,op1,,15,linear3,,35
p15,7.96,QUERY,op1,,15,linear3,,35
p16,7.96,INTERACTIVE,op1,,1,const,,55
p16,,,op2,op1,15,linear3,,37.5
p16,,,op3,op2,20,linear7,,30
p16,,,op4,op3,20,linear7,,30
p16,,,op5,op4,20,linear7,,30
p16,,,op6,op5,15,linear3,,37.5
p17,7.96,QUERY,op1,,15,linear3,,35
p18,7.96,INTERACTIVE,op1,,1,const,,55
p18,,,op2,op1,1,const,,55
p18,,,op3,op2,2,sqrt,,55
p19,7.96,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,40,linear7,,20
p19,,,op3,op2,5,linear3,,45
p19,,,op4,op3,20,linear7,,30
p19,,,op5,op4,2,sqrt,,55
p19,,,op6,op5,5,linear3,,45
p20,7.96,QUERY,op1,,15,linear3,,35
p21,16.198,INTERACTIVE,op1,,1,const,,55
p21,,,op2,op1,20,linear7,,30
p21,,,op3,op2,5,linear3,,45
p22,16.198,BATCH_PIPELINE,op1,,1,const,,55
p22,,,op2,,15,linear3,,37.5
p22,,,op3,,15,linear3,,37.5
p22,,,op4,,80,squared,,10
p22,,,op5,,5,linear3,,45
p22,,,op6,,2,sqrt,,55
p22,,,op7,,15,linear3,,37.5
p22,,,op8,op1;op2;op3;op4;op5;op6;op7,15,linear3,,37.5
p23,16.198,INTERACTIVE,op1,,1,const,,55
p23,,,op2,op1,80,squared,,10
p23,,,op3,op2,2,sqrt,,55
p23,,,op4,op3,5,linear3,,45
p23,,,op5,op4,2,sqrt,,55
p23,,,op6,op5,5,linear3,,45
p23,,,op7,op6,1,const,,55
p24,16.198,INTERACTIVE,op1,,1,const,,55
p24,,,op2,op1,2,sqrt,,55
p24,,,op3,op1,20,linear7,,30
p24,,,op4,op1,40,linear7,,20
p24,,,op5,op1,80,squared,,10
